,단어명,물리명,영문명,금칙어
75,1지대,ZONE1,1 ZONE,
76,1지망,FSTWISH,FIRST WISH,
77,1차,FST,FIRST,"첫번째,첫째,첫,일차"
78,1차평정자,FSTEVPSN,FIRST EVALUATION PERSON,
79,1층,FLR1,FIRST FLOOR,
80,1평,PYNG1,1 PYEONG,
81,1학기,SMSTR1,FIRST SEMESTER,
82,1회,ONCE,ONCE,일회
83,2,2,TWO,
84,2.5톤카고,TC25,2.5 TON CARGO,
85,20,20,TWENTY,
86,20분기,QTR20,TWENTIETH,
87,20세,YRS20,20 YEARS,
88,20인,TWENTYPSN,TWENTY PERSONS,
89,20평,PYNG20,20 PYEONG,
90,21,21,TWENTY-ONE,
91,22,22,TWENTY-TWO,
92,23,23,TWENTY-THREE,
93,24,24,TWENTY-FOUR,
94,24시간,TIME24,24 TIME,
95,25,25,TWENTY-FIVE,
96,2525C,MS2525C,MILITARY STANDARD 2525C,
97,2525C병종코드,MS2525CASPCD,MILSTD2525C ARMS SPECIALTIES CODE,
98,2525C부대규모코드,MS2525CUSCD,MILSTD2525C UNIT SCALE CODE,
99,2525C상태코드,MS2525CSACD,MILITARY STANDARD 2525C STATE CODE,
100,2525C전장코드,MS2525CBFCD,MILITARY STANDARD 2525C BATTLE FIELD CODE,
101,2525C전투임무코드,MS2525CCMSCD,MILITARY STANDARD 2525C COMBAT MISSION CODE,
102,2525C피아식별코드,MS2525CIFFCD,MILITARY STANDARD 2525C IDENTIFICATION FRIEND OR FOE CODE,
103,26,26,TWENTY-SIX,
104,27,27,TWENTY-SEVEN,
105,28,28,TWENTY-EIGHT,
106,29,29,TWENTY-NINE,
107,2군,SROKAR,THE SECOND REPUBLIC OF KOREA ARMY AREA,
108,2군수지원사령부,LSCMD2,2 LOGISTICS SUPPORT COMMAND,
109,2군수지원여단,LSBRGD2,2 LOGISTICS SUPPORT BRIGADE,
110,2급,CLS2,SECOND CLASS,
111,2년,YY2,2 YEAR,
112,2년도,YEAR2,2 YEAR,
113,2년차,ORDYR2,SECOND ORDER BY YEAR,
114,2단계,STP2,SECOND STEP,
115,2등급,GRD2,SECOND GRADE,
116,2분기,QTR2,SECOND QUARTER OF A YEAR,"2/4분기,분기2"
117,2사람,HUMN2,2 HUMAN,
118,2시간,TIME2,2 TIME,
119,2월,FEB,FEBRUARY,FEB
120,2인,TWOPSN,TWO PERSONS,
121,2자물류,PL2,SECOND PARTY LOGISTICS,
122,2종보급품,CS2,CLASS 2 SUPPLIES,2종
123,2주,WK2,SECOND WEEK,
124,2지대,ZONE2,2 ZONE,
125,2지망,SNDWISH,SECOND WISH,
126,2차,SND,SECOND,"두번째,둘째,이차"
127,2차원,DMNSN2,2 DIMENSION,
128,2차평정자,SNDEVPSN,SECOND EVALUATION PERSON,
129,2층,FLR2,SECOND FLOOR,
130,2학기,SMSTR2,SECOND SEMESTER,
131,2회,TWC,TWICE,
132,3,3,THREE,
133,3-A단계,STP3A,THIRD A STEP,
134,3-B단계,STP3B,THIRD B STEP,
135,3-C단계,STP3C,THIRD C STEP,
136,30,30,THIRTY,
137,3000미터달리기,RUN3000,3000 METER RUN,"3000M달리기,달리기3000,달리기3000M,달리기3000미터"
138,30세,YRS30,30 YEARS,
139,31세,YRS31,31 YEARS,
140,32세,YRS32,32 YEARS,
141,33세,YRS33,33 YEARS,
142,345킬로볼트,KV345,345 KILOVOLT,
143,34세,YRS34,34 YEARS,
144,35세,YRS35,35 YEARS,
145,36세,YRS36,36 YEARS,
146,37세,YRS37,37 YEARS,
147,38세,YRS38,38 YEARS,
148,39세,YRS39,39 YEARS,
149,3국화폐,TRDCTRCR,THIRD COUNTRY CURRENCY,
150,3군,TROKAR,THE THIRD REPUBLIC OF KOREA ARMY AREA,
151,3군공통군수지원코드,ANFCMNLSCD,"ARMY, NAVY AND AIR FORCE COMMON LOGISTICS SUPPORT CODE",
152,3군공통품목,CMNITM,COMMON ITEM,
153,3군공통품목식별코드,ANFCD,"ARMY, NAVY AND AIR FORCE COMMON ITEM CODE",
154,3군상호지원,INTSUP,INTERSERVICE SUPPORT,
155,3군상호지원정비구분코드,ISMCD,INTERSERVICE SUPPORT MAINTENANCE CATEGORY CODE,
156,3군수지원사령부,LSCMD3,3 LOGISTICS SUPPORT COMMAND,
157,3군수지원여단,LSBRGD3,3 LOGISTICS SUPPORT BRIGADE,
158,3급,CLS3,THIRD CLASS,
159,3년,YY3,3 YEAR,
160,3년도,YEAR3,3 YEAR,
161,3년차,ORDYR3,THIRD ORDER BY YEAR,
162,3단계,STP3,THIRD STEP,
163,3등급,GRD3,THIRD GRADE,
164,3분기,QTR3,THIRD QUARTER OF A YEAR,"3/4분기,분기3"
165,3분의2,TWTH,TWO-THIRDS,
166,3사람,HUMN3,3 HUMAN,
167,3시간,TIME3,3 TIME,
168,3월,MAR,MARCH,MAR
169,3인,THREEPSN,THREE PERSONS,
170,3자물류,PL3,THIRD PARTY LOGISTICS,
171,3종보급품,CS3,CLASS 3 SUPPLIES,3종
172,3주,WK3,THIRD WEEK,
173,3지대,ZONE3,3 ZONE,
174,3차,THRD,THIRD,"세번째,셋째,삼차"
175,3차원,DMNSN3,3 DIMENSION,
176,3층,FLR3,THIRD FLOOR,
177,4,4,FOUR,
178,4.5톤카고,TC45,4.5 TON CARGO,
179,40밀리미터,MM40,40 MILLIMETER,
180,40세,YRS40,40 YEARS,
181,48시간,TIME48,48 TIME,
182,4급,CLS4,FOURTH CLASS,
183,4년,YY4,4 YEAR,
184,4년도,YEAR4,4 YEAR,
185,4년차,ORDYR4,FOURTH ORDER BY YEAR,
186,4단계,STP4,FOURTH STEP,
187,4등급,GRD4,FOURTH GRADE,
188,4분기,QTR4,FOURTH QUARTER OF A YEAR,"4/4분기,분기4"
189,4사람,HUMN4,4 HUMAN,
190,4월,APR,APRIL,APR
191,4자물류,PL4,FOURTH PARTY LOGISTICS,
192,4종보급품,CS4,CLASS 4 SUPPLIES,4종
193,4주,WK4,FOURTH WEEK,
194,4차,FOTH,FOURTH,
195,4층,FLR4,FORTH FLOOR,
196,5,5,FIVE,
197,50,50,FIFTY,
198,57밀리미터,MM57,57 MILLIMETER,
199,5군수지원사령부,LSCMD5,5 LOGISTICS SUPPORT COMMAND,
200,5급,CLS5,FIFTH CLASS,
201,5년,YY5,5 YEAR,
202,5년도,YEAR5,5 YEAR,
203,5년차,ORDYR5,FIFTH ORDER BY YEAR,
204,5단계,STP5,FIFTH STEP,
205,5등급,GRD5,FIFTH GRADE,
206,5분기,QTR5,FIFTH QUARTER,
207,5사람,HUMN5,5 HUMAN,
208,5월,MAY,MAY,MAY
209,5종보급품,CS5,CLASS 5 SUPPLIES,5종
210,5주,WK5,FIFTH WEEK,
211,5차,FITH,FIFTH,
212,5층,FLR5,FIFTH FLOOR,
213,5평,PYNG5,5 PYEONG,
214,6,6,SIX,
215,60밀리미터,MM60,60 MILLIMETER,
216,60세,YRS60,60 YEARS,
217,65세,YRS65,65 YEARS,
218,6급,CLS6,SIXTH CLASS,
219,6년,YY6,6 YEAR,
220,6년차,ORDYR6,SIXTH ORDER BY YEAR,
221,6단계,STP6,SIXTH STEP,
222,6분기,QTR6,SIXTH QUARTER,
223,6사람,HUMN6,6 HUMAN,
224,6세,YRS6,6 YEARS,
225,6시간,TIME6,6 TIME,
226,6시그마,SIXSGM,SIX SIGMA,
227,6월,JUN,JUNE,JUN
228,6자회담,SPTLKS,SIX-PARTY TALKS,
229,6종보급품,CS6,CLASS 6 SUPPLIES,6종
230,6차,SITH,SIXTH,
231,6평,PYNG6,6 PYEONG,
232,7,7,SEVEN,
233,70세,YRS70,70 YEARS,
234,765킬로볼트,KV765,765 KILOVOLT,
235,7급,CLS7,SEVENTH CLASS,
236,7년,YY7,7 YEAR,
237,7년차,ORDYR7,SEVENTH ORDER BY YEAR,
238,7단계,STP7,SEVENTH STEP,
239,7분기,QTR7,SEVENTH QUARTER,
240,7사람,HUMN7,7 HUMAN,
241,7월,JUL,JULY,JUL
242,7종보급품,CS7,CLASS 7 SUPPLIES,7종
243,7차,SETH,SEVENTH,
244,8,8,EIGHT,
245,81밀리미터,MM81,81 MILLIMETER,
246,8급,CLS8,EIGHT CLASS,
247,8년,YY8,8 YEAR,
248,8년차,ORDYR8,EIGHTH ORDER BY YEAR,
249,8단계,STP8,EIGHTH STEP,
250,8분기,QTR8,EIGHTH QUARTER,
251,8사람,HUMN8,8 HUMAN,
252,8시간,TIME8,8 TIME,
253,8월,AUG,AUGUST,AUG
254,8종보급품,CS8,CLASS 8 SUPPLIES,8종
255,8차,EITH,EIGHTH,
256,8톤카고,TC8,8 TON CARGO,
257,9,9,NINE,
258,90밀리미터,MM90,90 MILLIMETER,
259,9급,CLS9,NINTH CLASS,
260,9년,YY9,9 YEAR,
261,9년차,ORDYR9,NINTH ORDER BY YEAR,
262,9단계,STP9,NINTH STEP,
263,9분기,QTR9,NINTH QUARTER,
264,9사람,HUMN9,9 HUMAN,
265,9월,SEP,SEPTEMBER,SEP
266,9종보급품,CS9,CLASS 9 SUPPLIES,9종
267,9차,NITH,NINTH,
268,A0,A0,A0,
269,A1,A1,A1,
270,A2,A2,A2,
271,A3,A3,A3,
272,A4,A4,A4,
273,A4지,A4P,A4 PAPER,
274,AAIC,AAIC,ACCOUNTING AUTHORITY IDENTIFICATION CODE,
275,ABC재고그룹,ABCGR,ABC STOCK GROUP,
276,ABR,AWBDRT,ANSWER BID RATIO,
277,AC,ALTRCRT,ALTERNATING CURRENT,
278,ADSL,ADSL,ASYMMETRIC DIGITAL SUBSCRIBER LINE,
279,AMARG,AMARG,AEROSPACE MAINTENANCE AND REGENERATION GROUP,
280,AMPN,AMPN,AMPN,
281,ANTPQ,TPQ,ARMY-NAVY TPQ,TPQ
282,ANTPQ36,TPQ36,ARMY-NAVY TPQ-36,TPQ36
283,ANTPQ37,TPQ37,ARMY-NAVY TPQ-37,TPQ37
284,ANTSQ73,TSQ73,AN/TSQ-73,
285,APICM,APICM,ARMOR PIERCING IMPROVED CONVENTIONAL MUNITIONS,
286,ARS,ARS,AUTOMATIC RESPONSE SYSTEM,
287,ARTHUR,ARTHUR,ARTILLERY HUNTING RADAR,
288,ASR,AIRSR,AIRBORNE SURVEILANCE RARDAR,
289,ASUPTBY,ASUPTBY,AIR SUPPORT BY,
290,ASUPTFOR,ASUPTFOR,AIR SUPPORT FOR,
291,ATA까르네발급단체,ATACIB,ATA CARNET ISSUE BODY,
292,ATA까르네발급업체,ATACIC,ATA CARNET ISSUE CORPORATION,
293,ATA까르네보증단체,ATACGB,ATA CARNET GUARANTEES BODY,
294,ATC,ATC,AUTOMATIC TABLET COUNTING & PACKING SYSTEM,
295,ATCAL,ATCAL,ATTRITION CALIBRATION ALGORITHM,
296,ATCAL보드,ATCALB,ATTRITION CALIBRATION ALGORITHM BOARD,
297,AXBT,AXBT,AIR-BORNE XBT,
298,A형간염,HA,HEPATITIS A,에이형간염
299,BATCH구동자,BTCHEXOR,BATCH EXECUTOR,
300,BCG,BCG,BACILLE DE CALMETTE-GUERIN VACCINE,
301,BCIS,BCIS,BATTLEFIELD COMBAT IDENTIFICATION SYSTEM,
302,BIN,BIN,BIN,
303,BOM,BOM,BILL OF MATERIALS,
304,BOOKING,BOOKING,BOOKING,
305,BOOKING번호,BOOKINGNO,BOOKING NUMBER,
306,BPM,BPM,BUSINESS PROCESS MANAGEMENT,
307,BPR,BPR,BUSINESS PROCESS REENGINEERING,
308,B형간염,HB,HEPATITIS B,
309,B형간염항원,HBAG,HEPATITIS B ANTIGEN,
310,B형간염항원결과,HBAGRT,HEPATITIS B ANTIGEN RESULT,
311,B형간염항체,HBAC,HEPATITIS B ANTIBODY,
312,B형간염항체결과,HBACRT,HEPATITIS B ANTIBODY RESULT,
313,C4ISR,C4ISR,COMMAND CONTROL COMMUNICATION COMPUTER INTELLIGENCE SURVEILLANCE AND RECONNAISSANCE,
314,CAGE,CAGE,COMMERCIAL AND GOVERNMENT ENTITY,
315,CCTV,CCTV,CLOSED-CIRCUIT TELEVISION,
316,CEB번호,CEBNO,COMBINED EFFECTS BOARD NUMBER,
317,CFR,CFR,COST AND FREIGHT,
318,CHIP영상,CHIPIMG,CHIP IMAGE,
319,CMS,CMS,CASH MANAGEMENT SERVICE,
320,COB업체,COBCOMP,COURIER ON BOARD COMPANY,
321,COSAGE,COSAGE,COMBAT SAMPLE GENERATOR,
322,CPIN,CPIN,COMPUTER PROGRAM IDENTIFICATION NUMBER,
323,CPM,CPM,CRITICAL PATH METHOD,
324,CPU,CPU,CENTRAL PROCESSING UNIT,
325,CRUD,CRUD,"CREATE, READ, UPDATE AND DELETE",
326,CTD,CTD,CONDUCTIVITY TEMPERATURE AND DEPTH,
327,CUDM,CUDM,CREATE UPDATE DELETE AND MANUAL,
328,C일,CDAY,COMMENCEMENT DAY,"전개개시일,C-DAY,증원개시일,CDAY"
329,C형간염,HC,HEPATITIS C,
330,C형간염항체,HCAB,HEPATITIS C ANTIBODY,
331,C형간염항체결과,HCABRT,HEPATITIS C ANTIBODY RESULT,
332,D10일,DD10,D 10 DAY,"D10일,D10"
333,D120일,DD120,D 120 DAY,"D120일,D120"
334,D136일,DD136,D 136 DAY,"D136일,D136"
335,D13일,DD13,D 13 DAY,"D13일,D13"
336,D15일,DD15,D 15 DAY,"D15일,D15"
337,D1일,DD1,D 1 DAY,"D1일,D1,D-DAY1일"
338,D20일,DD20,D 20 DAY,"D20일,D20"
339,D22일,DD22,D 22 DAY,"D22일,D22"
340,D245일,DD245,D 245 DAY,"D245일,D245"
341,D25일,DD25,D 25 DAY,"D25일,D25"
342,D2일,DD2,D 2 DAY,"D2일,D2,D-DAY2일"
343,D30일,DD30,D 30 DAY,"D30일,D30,30일"
344,D33일,DD33,D 33 DAY,"D33일,D33"
345,D365일,DD365,D 365 DAY,365일
346,D3일,DD3,D 3 DAY,"D3일,D3,D-DAY3일"
347,D45일,DD45,D 45 DAY,"D45일,D45"
348,D48일,DD48,D 48 DAY,"D48일,D48"
349,D4일,DD4,D 4 DAY,"D4일,D4,D-DAY4일"
350,D55일,DD55,D 55 DAY,"D55일,D55"
351,D58일,DD58,D 58 DAY,"D58일,D58"
352,D5일,DD5,D 5 DAY,"D5일,D5,D-DAY5일"
353,D60일,DD60,D 60 DAY,"D60일,D60,60일"
354,D65일,DD65,D 65 DAY,"D65일,D65"
355,D68일,DD68,D 68 DAY,"D68일,D68"
356,D6일,DD6,D 6 DAY,
357,D75일,DD75,D 75 DAY,"D75일,D75"
358,D78일,DD78,D 78 DAY,"D78일,D78"
359,D7일,DD7,D 7 DAY,
360,D8일,DD8,D 8 DAY,
361,D90일,DD90,D 90 DAY,"D90일,D90"
362,D9일,DD9,D 9 DAY,
363,DAP,DAP,"DEPARTURE, APPROACH, PRECISION APPROACH RADAR",
364,DBMS,DBMS,DATABASE MANAGEMENT SYSTEM,
365,DC일시,DCDNT,DISCONTINUE DATE AND TIME,
366,DC처방,DCORD,DISCONTINUE ORDER,
367,DEADSLOT,DEADSLOT,DEAD SLOT,DEAD-SLOT
368,DECK,DCK,DECK,
369,DECK출처코드,DECKSRCD,DECK SOURCE CODE,
370,"DEMAGE""",,,생략
371,DMB,DMB,DIGITAL MULTIMEDIA BROADCASTING,
372,DMC,DMC,"DATE OF ATTACK, MOBILIZATION-DAY AND COMMENCEMENT DAY",
373,DN,DN,DISTINGUISHED NAME,
374,DODIC,DODIC,DEPARTMENT OF DEFENCE IDENTIFICATION CODE,"DOD번호,DOD_번호,DODNO,DOD_NO,국방부식별기호,탄약식별번호,탄약식별부호"
375,DS2,DS2,DECONTAMINATIONG AGENT(DS2),
376,DUMMY,DUMMY,DUMMY,
377,DUR,DUR,DRUG UTILIZATION REVIEW,
378,D일,DDAY,D DAY,"D-DAY,DDAY,D DAY,공격개시일"
379,D일코드,DDAYCD,D DAY CODE,
380,D표적,TGTD,TARGET D,
381,EAI,EAI,ENTERPRISE APPLICATION INTEGRATION,
382,EAI구분번호,EAIDVSNO,ENTERPRISE APPLICATION INTEGRATION DIVISION NUMBER,
383,EAI문서번호,EAINO,ENTERPRISE APPLICATION INTEGRATION DOCUMENT NUMBER,
384,EAI일련번호,EAISN,ENTERPRISE APPLICATION INTEGRATION SERIAL NUMBER,
385,ECL,ECL,ENGLISH COMPREHENSION LEVEL,
386,EDX,EDX,EXTERNAL DATA EXCHANGE SERVICE,
387,EIX,EIX,EXTERNAL IMAGERY EXCHANGE,
388,ELNOT,ELNOT,ELECTRONIC INTELLIGENCE NOTATION,전자정보표시법
389,ELNOT번호,ELNOTNO,ELECTRONIC INTELLIGENCE NOTATION NUMBER,
390,EMR,EMR,ELECTRONIC MEDICAL RECORD,
391,ERP,ERP,ENTERPRISE RESOURCE PLANNING,전사적자원관리
392,ES,ES,EXPLOSIVE SITE,
393,ETL,ETL,"EXTRACT, TRANSFORM AND LOAD",
394,E표적,TGTE,TARGET E,
395,F-10년도,FYM10,FISCAL -10 YEAR,
396,F-1년도,FYM1,FISCAL -1 YEAR,"F-1,F-1년"
397,F-2년도,FYM2,FISCAL -2 YEAR,"F-2,F-2년"
398,F-3년도,FYM3,FISCAL -3 YEAR,"F-3,F-3년"
399,F-4년도,FYM4,FISCAL -4 YEAR,"F-4,F-4년"
400,F-5년도,FYM5,FISCAL -5 YEAR,"F-5,F-5년"
401,F-6년도,FYM6,FISCAL -6 YEAR,"F-6,F-6년"
402,F-7년도,FYM7,FISCAL -7 YEAR,"F-7,F-7년"
403,F-8년도,FYM8,FISCAL -8 YEAR,
404,F-9년도,FYM9,FISCAL -9 YEAR,
405,F100E,F100E,F100 ENGINE,
406,F10년도,FY10,FISCAL 10 YEAR,
407,F11년도,FY11,FISCAL 11 YEAR,
408,F15K,F15K,F15-K AIRCRAFT,
409,F1년도,FY1,FISCAL 1 YEAR,"F1,F1년,F1,F1년"
410,F2년도,FY2,FISCAL 2 YEAR,"F2,F2년,F2,F2년"
411,F3년도,FY3,FISCAL 3 YEAR,"F3,F3년,F3,F3년"
412,F4년도,FY4,FISCAL 4 YEAR,"F4,F4년,F4,F4년"
413,F5년도,FY5,FISCAL 5 YEAR,"F5,F5년,F5,F5년"
414,F6년도,FY6,FISCAL 6 YEAR,"F6,F6년,F6,F6년"
415,F7년도,FY7,FISCAL 7 YEAR,"F7,F7년,F7"
416,F8년도,FY8,FISCAL 8 YEAR,"F8,F8년,F8"
417,F9년도,FY9,FISCAL 9 YEAR,
418,FA50,FA50,FA-50 AIRCRAFT,
419,FACC표준,FACCSTD,FEATURE AND ATTRIBUTE CODING CATALOGUE STANDARD,
420,FAQ,FAQ,FREQUENTLY ASKED QUESTIONS,
421,FCR검사,FCREXAM,FCR EXAMINATION,
422,FIIG,FIIG,FEDERAL ITEM IDENTIFICATION GUIDE,
423,FIIG번호,FIIGNO,FEDERAL ITEM IDENTIFICATION GUIDE NUMBER,
424,FIX,FIX,FIX,
425,FMS물자인도명세서,FMSDL,FOREIGN MILITARY SALES DELIVERY LISTING,"FMS D/L,FMS DL"
426,FNORS,FNORS,FUNCTIONING NOT OPERATIONALLY READY FOR SUPPLY,
427,FOD,FOD,FOREIGN OBJECT DAMAGE,외부물체로인한파손
428,FORMMIS,FORMMIS,FORMMIS,
429,FTP,FTP,FILE TRANSFER PROTOCOL,
430,F년도,FY,FISCAL YEAR,"회계년도,F년,회계연도,F0,F0년"
431,F시,FHOUR,F-HOUR,"F-HOUR,개시기준시간"
432,F표적,TGTF,TARGET F,
433,F학점,FGRD,F GRADE,학점F
434,GCS,GCS,GUIDANCE CONTROL SECTION,
435,GEM,GEM,GEM,
436,GENTEXT,GENTXT,GENTEXT,
437,GIS,GIS,GEOGRAPHIC INFORMATION SYSTEM,
438,GNORS,GNORS,GROUNDED NOT OPERATIONALLY READY FOR SUPPLY,G-NORS
439,GROSS결과,GRRSLT,GROSS RESULT,
440,GTT,GTT,GUTTA,
441,G표적,TGTG,TARGET G,
442,H-12시,HM12,H-HOUR - 12,
443,H-24시,HM24,H-HOUR - 24,H24
444,H-2시,HM2,H-HOUR - 2,
445,H-4시,HM4,H-HOUR - 4,
446,H-8시,HM8,H-HOUR - 8,
447,H1시,HP1,H-HOUR  1,
448,H24시,HP24,H-HOUR  24,
449,H2시,HP2,H-HOUR  2,
450,H48시,HP48,H-HOUR  48,
451,H72시,HP72,H-HOUR  72,
452,H96시,HP96,H-HOUR  96,
453,HBSAB,HBSAB,HBSAB,
454,HBSAG,HBSAG,HBSAG,
455,HCCS,HCCS,HYUNMU COMMAND CONTROL SYSTEM,
456,HELPDESK,HLPDSK,HELPDESK,
457,HEXA,HEX,HEXADECIMAL,
458,HIV,HIV,HUMAN IMMUNODEFICINCY VIRUS,
459,HLIS,HLIS,H-LIS,
460,HPA,HPA,HECTOPASCAL,
461,HSK번호,HSKNO,HARMONIZED SYSTEM OF KOREA NUMBER,
462,HTML,HTML,HYPERTEXT MARKUP LANGUAGE,
463,HTTP,HTTP,Hypertext Transfer Protocol,
464,HW자원,HDWRSC,HARDWARE RESOURCE,
465,H시,HHOUR,H-HOUR,"HOUR,H-HOUR,작전개시시간"
466,H표적,TGTH,TARGET H,
467,ID,ID,IDENTIFICATION NUMBER,아이디
468,ID가능문자유형번호,IDPBTCHRTPNO,IDENTIFICATION NUMBER POSSIBILITY CHARACTERTYPE NUMBER,
469,ID필수문자유형번호,IDESLCHRTPNO,IDENTIFICATION NUMBER ESSENTIALITY CHARACTERTYPE NUMBER,
470,IMO번호,IMONO,INTERNATIONAL MARITIME ORGANIZATION NUMBER,
471,IMQC,IMQC,INDIVIDUAL MAINTENANCE QUALITY CONTROL,
472,INU,INU,INU,
473,IOD,IOD,INTERNAL OBJECT DAMAGE,내부물체로인한파손
474,IP,IP,INTERNET PROTOCOL,"아이피,IP주소,IP ADDRESS,IPADDRESS"
475,IRDS,IRDS,INFRARED DETECTION SYSTEM,
476,ISAR,ISAR,INVERSE SYNTHETIC APERTURE RADAR,
477,ISBN,ISBN,INTERNATIONAL STANDARD BOOK NUMBER,
478,ISDLII,ISDLII,INTER SITE DATA LINK II,
479,ISO14000시리즈,ISO14000,INTERNATIONAL ORGANIZATION FOR STANDARDIZATION 14000 시리즈,
480,ISO18000시리즈,ISO18000,INTERNATIONAL ORGANIZATION FOR STANDARDIZATION 18000 시리즈,
481,ISO9000시리즈,ISO9000,INTERNATIONAL ORGANIZATION FOR STANDARDIZATION 9000 시리즈,
482,ITA,ITA,INFORMATION TECHNOLOGY ARCHITECTURE,
483,ITA도구,ITATL,ITA TOOL,
484,ITA비전,ITAVS,ITA VISION,
485,ITA원칙,ITAP,ITA PRINCIPLE,
486,IT산업,ITIDSTR,INFORMATION TECHNOLOGY INDUSTRY,
487,I표적,TGTI,TARGET I,
488,JDBC,JDBC,Java database connectivity,
489,JFS,JFS,JET FUEL STARTER,
490,JIT,JIT,JUST IN TIME,
491,JMX,JMX,Java management extension,
492,JOAP,JOAP,JOINT OIL ANALYSIS PROGRAM,
493,JOAP조치코드,JACD,JOAP ACTION CODE,
494,JPEG,JPEG,JOINT PHOTOGRAPHIC EXPERTS GROUP,
495,JSON,JSON,JAVA OBJECT NOTATION,
496,JVM,JVM,Java virtual machine,
497,J표적,TGTJ,TARGET J,
498,KAMARG,KAMARG,KOREA AEROSPACE MAINTENANCE AND REGENERATION GROUP,
499,KDN,KDN,KEY DISTINGUISHED NAME,
500,KDN번호,KDNNO,KEY DISTINGUISHED NAME NUMBER,
501,KGMP,KGMP,KOREAN GOOD MANUFACTURING PRACTICE,
502,KID,KID,KID,
503,KIMS,KIMS,KOREA INDEX OF MEDICAL SPECIALTIES,
504,KIMS분류,KIMSCL,KIMS CLASSIFICATION,
505,KLIS,KLIS,K-LIS,
506,KM138,KM138,KM138,
507,KMTF,KMTF,KJCCS MESSAGE TEXT FORMAT,
508,KN-02,KN02,KN-02,
509,KN-07,KN07,KN-07,
510,KN번호,KNNO,KN NUMBER,
511,KTA1,KTA1,KT/A-1 AIRCRAFT,
512,LCMS,LCMS,LONG CHARACTER MESSAGE SERVICE,
513,LCS,LCS,LAUNCH CONTROL STATION,
514,LDAP,LDAP,LIGHTWEIGHT DIRECTORY ACCESS PROTOCOL,
515,LINK16,LINK16,LINK16,
516,LVC기반합성전장환경,SBELVC,SYNTHETIC BATTLEFIELD ENVIRONMENT BASED ON LIVE-VIRTUAL-CONSTRUCTIVE SIMULATIONS INTEGRATED,
517,L표적,TGTL,TARGET L,
